import time: self [us] | cumulative | imported package
import time:      1963 |       8652 |                             email.utils
import time:       648 |      12392 |                           email._policybase
import time:       789 |      13622 |                         email.feedparser
import time:       735 |      14356 |                       email.parser
import time:       444 |        444 |                         email._encoded_words
import time:       301 |        301 |                         email.iterators
import time:      1090 |       1834 |                       email.message
import time:      1959 |       1959 |                         _ssl
import time:      2730 |       4688 |                       ssl
import time:      1814 |      23379 |                     http.client
import time:       296 |        296 |                       urllib.response
import time:       360 |        655 |                     urllib.error
import time:       370 |        370 |                     nturl2path
import time:      2283 |      27080 |                   urllib.request
import time:       669 |        669 |                   httpx._exceptions
import time:        52 |         52 |                           _json
import time:       457 |        509 |                         json.scanner
import time:       785 |       1294 |                       json.decoder
import time:       450 |        450 |                       json.encoder
import time:       862 |       2605 |                     json
import time:       334 |        334 |                             org
import time:        22 |        355 |                           org.python
import time:        17 |        372 |                         org.python.core
import time:       583 |        954 |                       copy
import time:      2589 |       3542 |                     http.cookiejar
import time:       554 |        554 |                         mimetypes
import time:       923 |        923 |                         httpx._types
import time:      1237 |       1237 |                           ipaddress
import time:       904 |       2141 |                         httpx._utils
import time:      1655 |       5271 |                       httpx._multipart
import time:      1304 |       6575 |                     httpx._content
import time:       346 |        346 |                       brotli
import time:       418 |        418 |                       brotlicffi
import time:      1040 |       1040 |                         zstandard.backend_c
import time:      1032 |       2072 |                       zstandard
import time:       683 |       3517 |                     httpx._decoders
import time:       809 |        809 |                     httpx._status_codes
import time:       609 |        609 |                           idna.idnadata
import time:       266 |        266 |                           idna.intranges
import time:      1135 |       2009 |                         idna.core
import time:       253 |        253 |                         idna.package_data
import time:       859 |       3120 |                       idna
import time:      1624 |       1624 |                       httpx._urlparse
import time:       799 |       5542 |                     httpx._urls
import time:      2650 |      25237 |                   httpx._models
import time:      3065 |      56050 |                 httpx._auth
import time:       388 |        388 |                 httpx._config
import time:       319 |        319 |                       httpx._transports.base
import time:       764 |       1082 |                     httpx._transports.asgi
import time:       465 |        465 |                     httpx._transports.default
import time:       357 |        357 |                     httpx._transports.mock
import time:       318 |        318 |                     httpx._transports.wsgi
import time:      1129 |       3350 |                   httpx._transports
import time:        31 |       3380 |                 httpx._transports.base
import time:      1522 |      61339 |               httpx._client
import time:      1058 |      62396 |             httpx._api
import time:       756 |        756 |                         ctypes.wintypes
import time:        50 |         50 |                         msvcrt
import time:      1291 |       2096 |                       click._winconsole
import time:       770 |       2866 |                     click._compat
import time:       269 |        269 |                       click.globals
import time:       470 |        470 |                       click.utils
import time:       894 |       1632 |                     click.exceptions
import time:      1220 |       5717 |                   click.types
import time:       359 |        359 |                     click.parser
import time:       570 |        929 |                   click.formatting
import time:       670 |        670 |                   click.termui
import time:      2355 |       9669 |                 click.core
import time:       442 |        442 |                 click.decorators
import time:      1492 |      11602 |               click
import time:       484 |        484 |                 pygments
import time:      1522 |       1522 |                 pygments.lexers._mapping
import time:       486 |        486 |                 pygments.modeline
import time:        81 |         81 |                       _csv
import time:       593 |        674 |                     csv
import time:       226 |        226 |                         importlib.metadata._functools
import time:       437 |        663 |                       importlib.metadata._text
import time:       640 |       1303 |                     importlib.metadata._adapters
import time:       368 |        368 |                     importlib.metadata._meta
